",TC",email,phone,username,password,confirmPassword,comments,"redirect,"
",22",teste@gmail.com,1234567890123500,abcd1_..,abcde,null,abcd@<>,"false,"
",23",teste@gmail.com,abcd,null,abcdef,igual,null,"false,"
",24",teste@gmail.com,null,abc,abcde1,diferente,abc,"false,"
",25",teste@gmail.com,null,abcd,Abcde1,null,abcd@<>,"false,"
",26",teste@gmail.com,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,igual,null,"false,"
",27",teste<>!;;@gmail.com,12345678,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null,null,"false,"
",28",teste<>!;;@gmail.com,12345678901234,abcd1_.,abcde,igual,abc,"false,"
",29",teste<>!;;@gmail.com,123456789012340,abcd1_..,abcdef,diferente,abcd@<>,"false,"
",30",teste<>!;;@gmail.com,1234567890123500,null,abcde1,null,null,"false,"
",31",teste<>!;;@gmail.com,abcd,abc,Abcde1,igual,abc,"false,"
",32",teste<>!;;@gmail.com,null,abcd,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,diferente,abcd@<>,"false,"
",33",teste<>!;;@gmail.com,null,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Abcde1!@-.,null,null,"false,"
",34",teste<>!;;@gmail.com,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,igual,abc,"false,"
",35",teste<>!;;@gmail.com,1234567,1abcd,abcde,diferente,abcd@<>,"false,"
",36",teste@gmail,12345678901234,abcd1_..,abcde1,igual,abcd@<>,"false,"
",37",teste@gmail,123456789012340,null,Abcde1,diferente,null,"false,"
",38",teste@gmail,1234567890123500,abc,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,abc,"false,"
",39",teste@gmail,abcd,abcd,Abcde1!@-.,igual,abcd@<>,"false,"
",40",teste@gmail,null,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,diferente,null,"false,"
",41",teste@gmail,null,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde,null,abc,"false,"
",42",teste@gmail,1,1abcd,null,igual,abcd@<>,"false,"
",43",teste@gmail,1234567,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde,diferente,null,"false,"
",44",teste@gmail,12345678,abcd1_.,abcdef,null,abc,"false,"
",45",null,123456789012340,abc,Abcde1!@-.,diferente,abc,"false,"
",46",null,1234567890123500,abcd,null,null,abcd@<>,"false,"
",47",null,abcd,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde,igual,null,"false,"
",48",null,null,1abcd,abcde,null,abcd@<>,"false,"
",49",null,1,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcdef,igual,null,"false,"
",50",null,1234567,abcd1_.,abcde1,diferente,abc,"false,"
",51",null,12345678,abcd1_..,Abcde1,null,abcd@<>,"false,"
",52",null,12345678901234,null,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,igual,null,"false,"
",53",a@gmail.com,1234567890123500,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null,null,"false,"
",54",a@gmail.com,abcd,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde,igual,abc,"false,"
",55",a@gmail.com,null,1abcd,abcdef,diferente,abcd@<>,"false,"
",56",a@gmail.com,null,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde1,null,null,"false,"
",57",a@gmail.com,1,abcd1_.,Abcde1,igual,abc,"false,"
",58",a@gmail.com,1234567,abcd1_..,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,diferente,abcd@<>,"false,"
",59",a@gmail.com,12345678,null,Abcde1!@-.,null,null,"false,"
",60",a@gmail.com,12345678901234,abc,null,igual,abc,"false,"
",61",a@gmail.com,123456789012340,abcd,abcde,diferente,abcd@<>,"false,"
",62",teste@gmail.com,abcd,1abcd,abcde1,igual,abcd@<>,"false,"
",63",teste@gmail.com,null,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Abcde1,diferente,null,"false,"
",64",teste@gmail.com,null,abcd1_.,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,abc,"false,"
",65",teste@gmail.com,1,abcd1_..,Abcde1!@-.,igual,abcd@<>,"false,"
",66",teste@gmail.com,1234567,null,null,diferente,null,"false,"
",67",teste@gmail.com,12345678,abc,abcde,null,abc,"false,"
",68",teste@gmail.com,12345678901234,abcd,null,igual,abcd@<>,"false,"
",69",teste@gmail.com,123456789012340,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde,diferente,null,"false,"
",70",teste@gmail.com,1234567890123500,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcdef,null,abc,"false,"
",71",teste<>!;;@gmail.com,null,abcd1_.,Abcde1!@-.,diferente,abc,"false,"
",72",teste<>!;;@gmail.com,null,abcd1_..,null,null,abcd@<>,"false,"
",73",teste<>!;;@gmail.com,1,null,abcde,igual,null,"false,"
",74",teste<>!;;@gmail.com,1234567,abc,null,diferente,abc,"false,"
",75",teste<>!;;@gmail.com,12345678,abcd,abcde,null,abcd@<>,"false,"
",76",teste<>!;;@gmail.com,12345678901234,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcdef,igual,null,"false,"
",77",teste<>!;;@gmail.com,123456789012340,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde1,diferente,abc,"false,"
",78",teste<>!;;@gmail.com,1234567890123500,1abcd,Abcde1,null,abcd@<>,"false,"
",79",teste<>!;;@gmail.com,abcd,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,igual,null,"false,"
